NO,LATE,GENDER,MARITAL,DISTRICT,EMPLOYMENT,INCOME,INSTALLMENT,TENOR,IG_MONTH,POSTING_MIDNIGHT,REL_ACCOUNT,FOLLOWERS,FOLLOWING,IGPOST_MONTH
58,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,2046000,4490736,12,30,1,0,1742,590,3
59,136,FEMALE,MARRIED,OTHER,WIRASWASTA,2000000,1632984,12,79,5,3,1007,1024,2
60,0,MALE,SINGLE,KOTA BANDUNG,WIRASWASTA,10000000,17388006,6,81,0,2,736,68,1
61,130,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,3100000,3090000,12,30,1,17,455,688,1
62,152,MALE,MARRIED,OTHER,OTHER,2390000,2916000,12,53,1,2,454,845,5
63,61,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,2790000,2310000,12,48,1,2,349,601,3
64,59,FEMALE,MARRIED,KOTA BANDUNG,KARYAWAN,3200000,1923000,6,55,0,0,772,762,12
65,43,FEMALE,MARRIED,OTHER,OTHER,3565000,7260000,12,70,1,5,2450,1031,9
66,0,FEMALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,6500000,1155000,6,48,1,1,1130,1498,3
67,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,4025963,2787000,6,56,2,10,281,248,4
68,0,FEMALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,4000000,2727000,9,47,0,7,613,660,4
69,213,MALE,MARRIED,KOTA BANDUNG,MANAJER,6950000,15636000,12,35,1,1,297,439,1
70,0,MALE,SINGLE,OTHER,KARYAWAN,3500000,1005000,5,32,0,0,83,56,4
71,86,FEMALE,SINGLE,KABUPATEN BANDUNG,OTHER,2000000,1824000,12,34,1,0,399,519,4
72,93,FEMALE,MARRIED,KOTA BANDUNG,OTHER,5000000,1638000,6,49,1,0,248,269,2
73,0,FEMALE,SINGLE,KOTA BANDUNG,KARYAWAN,3000000,2844000,12,67,3,16,182,201,2
74,0,MALE,MARRIED,OTHER,MANAJER,22000000,15378000,6,82,0,0,349,235,1
75,0,FEMALE,MARRIED,OTHER,OTHER,4500000,2568000,12,10,0,3,202,38,5
76,46,FEMALE,MARRIED,KOTA BANDUNG,WIRASWASTA,5000000,3477000,6,48,0,7,872,441,5
